Event name , Movie name , Date , Time , Location , Link 
Festival &amp; Distribution: General Info Sessions,,August-1-2018,,School of Cinematic Arts  SCA 255,https://cinema.usc.edu/events/event.cfm?id=19036

Kaleidoscope: Refocusing the Digital Spectacle,,May-1-2019,4:00pm,SCI 106  SCA Gallery and SCA Stage 4,https://cinema.usc.edu/events/event.cfm?id=44227

EL MAR LA MAR,El Mar La Mar,April-24-2019,1:00pm,Interactive Media Building Screening Room  SCI 108  3470 McClintock Ave.  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=46261

90th Anniversary Alumni Conversation: SHONDA RHIMES &amp; JOHN WELLS,,April-30-2019,7:30pm,The Frank Sinatra Hall at the Eileen Norris Cinema Theatre Complex  3507 Trousdale Parkway  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=45234

90th Anniversary Alumni Conversation: Late 90's Alumni,,May-7-2019,7:30pm,The Ray Stark Family Theatre  SCA 108  George Lucas Building  USC School of Cinematic Arts Complex  900 W. 34th Street  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=46253

TURNING POINT,Turning Point,April-24-2019,7:00pm,The Ray Stark Family Theatre  SCA 108  George Lucas Building  USC School of Cinematic Arts Complex  900 W. 34th Street  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=46267

ALIEN: RESURRECTION,Alien: Resurrection ,May-6-2019,7:00pm,The Frank Sinatra Hall at the Eileen Norris Cinema Theatre Complex  3507 Trousdale Parkway  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=45241

ALIENS,Aliens ,April-29-2019,7:00pm,The Frank Sinatra Hall at the Eileen Norris Cinema Theatre Complex  3507 Trousdale Parkway  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=45244

90th Anniversary Alumni Conversations Series: John August &amp; Melissa Rosenberg,,April-23-2019,7:30pm,The Ray Stark Family Theatre  SCA 108  George Lucas Building  USC School of Cinematic Arts Complex  900 W. 34th Street  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=44212

iMappening 2019,,April-23-2019,5:00pm,SCI 108 and SCA Stage 4,https://cinema.usc.edu/events/event.cfm?id=44226

40 YEARS OF ALIEN: 40th Anniversary Exhibit,,January-25-2019,,The Hugh M. Hefner Exhibition Hall  George Lucas Building Lobby  USC School of Cinematic Arts Complex  900 W. 34th Street  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=43121

Virtual Admitted Freshmen Session,,April-10-2019,3:30pm,Online - Access Information Sent Via Email,https://cinema.usc.edu/events/event.cfm?id=45226

CTCS-466: Theatrical Film Symposium,,January-10-2019,6:00pm,The Frank Sinatra Hall at the Eileen Norris Cinema Theatre Complex  3507 Trousdale Parkway  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=39990

On-Campus SCA Information Session,,January-1-2019,11:00am,USC School of Cinematic Arts,https://cinema.usc.edu/events/event.cfm?id=43065

HESBURGH,Hesburgh,April-22-2019,7:00pm,Interactive Media Building Screening Room  SCI 106  3470 McClintock Ave.  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=46254

ALIEN 40th Anniversary Screening,Alien ,April-20-2019,6:00pm,The Frank Sinatra Hall at the Eileen Norris Cinema Theatre Complex  3507 Trousdale Parkway  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=45240

Forbidden Hollywood: When Sin Ruled the Movies,The Sign of the Cross  /  Only Yesterday,April-26-2019, 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/04/26/sign-of-the-cross-only-yesterday

UCLA Celebration of Iranian Cinema,Hendi and Hormoz,April-28-2019, 7:00 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/04/28/hendi-and-hormoz

UCLA Celebration of Iranian Cinema,Sly,April-28-2019, 3:00 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/04/28/sly

UCLA Celebration of Iranian Cinema,Bomb  A Love Story,May-10-2019, 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/10/bomb-love-story

UCLA Celebration of Iranian Cinema,Sunset Truck,May-3-2019, 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/03/sunset-truck

Family Flicks,The Music Man,May-5-2019, 11:00 am,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/05/music-man

UCLA Celebration of Iranian Cinema,Before Summer Ends,May-4-2019, 3:00 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/04/before-summer-ends

UCLA Celebration of Iranian Cinema,Ali Aqa,May-5-2019, 7:00 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/05/ali-aqa-waterfolks

UCLA Celebration of Iranian Cinema,Sheeple,May-4-2019, 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/04/sheeple

UCLA Celebration of Iranian Cinema,Tehran: City of Love,April-27-2019, 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/04/27/tehran-city-of-love-tariki

UCLA Celebration of Iranian Cinema,Ill Fate,May-11-2019, 3:00 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/11/ill-fate

Archive Treasures,Nitrate Treasures: Seven Days to Noon,June-14-2019, 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/06/14/nitrate-treasures-seven-days-to-noon

Family Flicks,The Dark Crystal,June-23-2019, 11:00 am,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/06/23/dark-crystal

UCLA Celebration of Iranian Cinema,The House is Black  /  Brick and Mirror,May-11-2019, 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/11/house-is-black-dawn-cold-season-brick-mirror

Nina Menkes  Cinematic Sorceress,Queen of Diamonds  /  The Bloody Child,June-15-2019, 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/06/15/nina-menkes-cinematic-sorceress

The Young and the Reckless: A Weekend with Sandi Tan,Pola X  /  River's Edge,June-21-2019, 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/06/21/pola-x-rivers-edge

Special Screening,Off-site: They Shall Not Grow Old,May-11-2019, 7:00 pm,Hollywood Post 43  The American Legion,https://www.cinema.ucla.edu/events/2019/05/11/they-shall-not-grow-old

The Young and the Reckless: A Weekend with Sandi Tan,Tarnation  /  Naked Youth,June-22-2019, 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/06/22/tarnation-naked-youth

