Forbidden Hollywood: When Sin Ruled the Movies,The Sign of the Cross  /  Only Yesterday,April 26  2019 - 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/04/26/sign-of-the-cross-only-yesterday
UCLA Celebration of Iranian Cinema,Hendi and Hormoz,April 28  2019 - 7:00 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/04/28/hendi-and-hormoz
UCLA Celebration of Iranian Cinema,Sly,April 28  2019 - 3:00 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/04/28/sly
UCLA Celebration of Iranian Cinema,Bomb  A Love Story,May 10  2019 - 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/10/bomb-love-story
UCLA Celebration of Iranian Cinema,Sunset Truck,May 3  2019 - 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/03/sunset-truck
Family Flicks,The Music Man,May 5  2019 - 11:00 am,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/05/music-man
UCLA Celebration of Iranian Cinema,Before Summer Ends,May 4  2019 - 3:00 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/04/before-summer-ends
UCLA Celebration of Iranian Cinema,Ali Aqa,May 5  2019 - 7:00 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/05/ali-aqa-waterfolks
UCLA Celebration of Iranian Cinema,Sheeple,May 4  2019 - 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/04/sheeple
UCLA Celebration of Iranian Cinema,Tehran: City of Love,April 27  2019 - 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/04/27/tehran-city-of-love-tariki
UCLA Celebration of Iranian Cinema,Ill Fate,May 11  2019 - 3:00 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/11/ill-fate
Archive Treasures,Nitrate Treasures: Seven Days to Noon,June 14  2019 - 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/06/14/nitrate-treasures-seven-days-to-noon
Family Flicks,The Dark Crystal,June 23  2019 - 11:00 am,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/06/23/dark-crystal
UCLA Celebration of Iranian Cinema,The House is Black  /  Brick and Mirror,May 11  2019 - 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/05/11/house-is-black-dawn-cold-season-brick-mirror
Nina Menkes  Cinematic Sorceress,Queen of Diamonds  /  The Bloody Child,June 15  2019 - 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/06/15/nina-menkes-cinematic-sorceress
The Young and the Reckless: A Weekend with Sandi Tan,Pola X  /  River's Edge,June 21  2019 - 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/06/21/pola-x-rivers-edge
Special Screening,Off-site: They Shall Not Grow Old,May 11  2019 - 7:00 pm,Hollywood Post 43  The American Legion,https://www.cinema.ucla.edu/events/2019/05/11/they-shall-not-grow-old
The Young and the Reckless: A Weekend with Sandi Tan,Tarnation  /  Naked Youth,June 22  2019 - 7:30 pm,Billy Wilder Theater,https://www.cinema.ucla.edu/events/2019/06/22/tarnation-naked-youth
