Festival &amp; Distribution: General Info Sessions,,August 1  2018 - May 14  2019  Varies,School of Cinematic Arts  SCA 255,https://cinema.usc.edu/events/event.cfm?id=19036
Kaleidoscope: Refocusing the Digital Spectacle,,May 1  2019 - May 3  2019  4:00 p.m.,SCI 106  SCA Gallery and SCA Stage 4,https://cinema.usc.edu/events/event.cfm?id=44227
EL MAR LA MAR,El Mar La Mar,April 24  2019  1:00 P.M.,Interactive Media Building Screening Room  SCI 108  3470 McClintock Ave.  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=46261
90th Anniversary Alumni Conversation: SHONDA RHIMES &amp; JOHN WELLS,,April 30  2019  7:30 P.M.,The Frank Sinatra Hall at the Eileen Norris Cinema Theatre Complex  3507 Trousdale Parkway  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=45234
90th Anniversary Alumni Conversation: Late 90's Alumni,,May 7  2019  7:30 P.M.,The Ray Stark Family Theatre  SCA 108  George Lucas Building  USC School of Cinematic Arts Complex  900 W. 34th Street  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=46253
TURNING POINT,Turning Point,April 24  2019  7:00 P.M.,The Ray Stark Family Theatre  SCA 108  George Lucas Building  USC School of Cinematic Arts Complex  900 W. 34th Street  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=46267
ALIEN: RESURRECTION,Alien: Resurrection ,May 6  2019  7:00 P.M.,The Frank Sinatra Hall at the Eileen Norris Cinema Theatre Complex  3507 Trousdale Parkway  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=45241
ALIENS,Aliens ,April 29  2019  7:00 P.M.,The Frank Sinatra Hall at the Eileen Norris Cinema Theatre Complex  3507 Trousdale Parkway  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=45244
90th Anniversary Alumni Conversations Series: John August &amp; Melissa Rosenberg,,April 23  2019  7:30 P.M.,The Ray Stark Family Theatre  SCA 108  George Lucas Building  USC School of Cinematic Arts Complex  900 W. 34th Street  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=44212
iMappening 2019,,April 23  2019 - April 26  2019  5:00 p.m.,SCI 108 and SCA Stage 4,https://cinema.usc.edu/events/event.cfm?id=44226
40 YEARS OF ALIEN: 40th Anniversary Exhibit,,January 25  2019 - May 12  2019  Varied,The Hugh M. Hefner Exhibition Hall  George Lucas Building Lobby  USC School of Cinematic Arts Complex  900 W. 34th Street  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=43121
Virtual Admitted Freshmen Session,,April 10  2019 - April 24  2019  3:30 PM - 4:30 PM (Pacific Standard Time),Online - Access Information Sent Via Email,https://cinema.usc.edu/events/event.cfm?id=45226
CTCS-466: Theatrical Film Symposium,,January 10  2019 - May 2  2019  6:00 P.M. - 10:00 P.M.,The Frank Sinatra Hall at the Eileen Norris Cinema Theatre Complex  3507 Trousdale Parkway  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=39990
On-Campus SCA Information Session,,January 1  2019 - December 31  2019  11:00 AM,USC School of Cinematic Arts,https://cinema.usc.edu/events/event.cfm?id=43065
HESBURGH,Hesburgh,April 22  2019  7:00 P.M.,Interactive Media Building Screening Room  SCI 106  3470 McClintock Ave.  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=46254
ALIEN 40th Anniversary Screening,Alien ,April 20  2019  6:00 P.M.,The Frank Sinatra Hall at the Eileen Norris Cinema Theatre Complex  3507 Trousdale Parkway  Los Angeles  CA 90007,https://cinema.usc.edu/events/event.cfm?id=45240
